"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),6.906275668,***,8.021834714,***,7.498889843,***,6.001568772,***,5.511733102,***,5.107262447,***,5.026529785,***,7.431888573,***,6.830408779,***
woman,0.580820753,*,0.413817648,,0.028262022,,0.13383352,,0.311718363,,0.337581438,,0.168497069,,0.251590612, ,0.414289694,**
married,0.15680556,,0.363210623,,-0.156290089,,0.211656429, ,0.326902484,*,0.46580657,**,0.257124882,**,0.276240857,**,0.348244628,***
age1,0.012440707,*,0.01999089,***,0.008542262, ,8.20E-04,,-0.004619836, ,-0.015290932,***,0.009170598,***,0.003881685,*,0.003102995, 
kids_1_to_2,0.145257591,,0.005638622,,-0.272400708,*,0.040976366,,-0.068028766,,0.019358933,,-0.075288052,*,-0.079428884, ,-0.069325831, 
kids_3_up,-0.253960668, ,-0.263161367, ,-0.233119289,*,-0.07495488,,-0.474113091,***,-0.385173717,***,-0.406950768,***,-0.618506039,***,-0.534626704,***
hh_max_sei1,-0.005260578,,0.025163263,,0.037063285, ,-1.17E-04,,0.048500361,***,0.015535125,**,0.015506967,***,0.024703358,***,-0.015763683,***
ed_pct_black1,-0.001153172,,-0.015811802,***,-0.007516463, ,0.005116601,,0.001007509,,-0.001438217,,0.01824746,***,9.48E-04,,-0.002217171,
ed_pct_frnbrn1,-0.017186324,,-0.025977804,*,0.016687252,,-0.011028045,***,-0.015116024,***,0.040355155,***,-0.011240537,**,-0.021727542,***,-0.002057966,
ed_mean_sei1,0.215393089,***,0.172783831,***,0.270175806,***,0.338708114,***,0.535729424,***,0.69634961,***,0.409123574,***,0.350303533,***,0.559940236,***
hh_max_sei1:ed_pct_black1,-3.07E-06,,2.99E-05,,-2.34E-04,,2.74E-05,,-3.82E-05,,7.10E-05,,-3.39E-05,,2.23E-04,*,3.12E-05,
hh_max_sei1:ed_pct_frnbrn1,6.25E-05,,-3.15E-04,,-9.60E-04, ,6.31E-05,,-1.67E-07,,-2.14E-04,*,-7.59E-05,,-8.70E-05,,4.00E-04,***
hh_max_sei1:ed_mean_sei1,9.41E-04,,-0.00165734,,-9.97E-04,,0.001050905,***,-0.001815253,***,0.001486433,***,1.53E-04,,8.24E-04,**,0.003658745,***
