"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),19.59244175,**,22.14644107,***,40.11237457,***,-0.939795924,,-2.527557301, ,-2.569177169,*,-0.881559508,,-1.87597631,*,0.36321957,
woman,0.836503259,,3.806847448,,3.248606209, ,-0.267450566,,-0.162251199,,0.68489559,,0.083248115,,-0.147427468,,-0.020746527,
married,-2.044839007,,-0.623406248,,1.004009262,,-1.78359121,***,-0.454687224,,-0.009861679,,-0.581303237,*,-1.567896622,***,-1.041061674,***
age1,-0.043762896,,-0.100848821, ,-0.016211347,,-0.007135314,,0.029479099,**,0.053174333,***,0.019637871,***,0.05407048,***,0.037968013,***
kids_1_to_2,-0.422254547,,-1.502346803,,1.323958674,,-0.016160121,,0.16728308,,0.50285761,*,-0.134741441,,-0.180077701,,-0.125514253,
kids_3_up,-0.763601414,,0.265702234,,-1.095197476,,0.504222218,*,1.101562864,***,0.747349966,**,0.310842354,*,0.633691055,***,0.408254695,**
hh_max_sei1,0.020481495,,0.40293679,*,0.130641385,,0.05261951,*,0.041577737, ,0.004277881,,-0.04436016,*,0.018376063,,-0.003843159,
ed_pct_black1,0.417192036,***,0.37497191,***,0.36264739,***,0.447642439,***,0.403680401,***,0.528819428,***,0.409760212,***,0.354578974,***,0.453862375,***
ed_pct_frnbrn1,0.236591316,*,0.375773129,**,-0.08731978,,0.067126095,***,0.103115249,***,0.009652087,,0.016417697,,0.053398584,**,0.030527887, 
ed_mean_sei1,0.570604236,*,1.036771954,**,0.399873373, ,0.277201184,****,0.309643067,***,0.100722968, ,0.17991578,***,0.361603238,***,0.046865362,
hh_max_sei1:ed_pct_black1,0.001842254,,-0.00186789,,-2.37E-04,,-0.001639508,***,-9.90E-04,**,-4.44E-04,,4.76E-04, ,-0.001169421,***,0.001138546,***
hh_max_sei1:ed_pct_frnbrn1,0.001512983,,-0.011141154,*,4.39E-04,,-6.43E-04,**,-5.70E-04, ,1.27E-04,,9.60E-04,***,-8.44E-06,,-2.38E-04,
hh_max_sei1:ed_mean_sei1,-0.01270871,,-0.011705409,,-0.004915485,,-0.002337445, ,-0.00342836,*,-5.67E-04,,0.001546726,*,-0.002630086,*,-6.50E-04,
