"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),10.24304119,***,12.29243741,***,5.731095546,***,9.920008098,***,8.826395307,***,3.511448016,***,10.90893199,***,10.63722718,***,4.566438011,***
woman,-0.433262255,,-0.84819449,,-0.551806523,,-0.799217567,,-1.476056815,*,0.284720954,,-0.123999607,,-0.060584243,,-0.428695767,*
married,0.070578975,,0.080976571,,-0.093598566,,0.791076575, ,0.004271782,,0.523480565,,-0.561363424,**,-0.037919211,,0.172476247,
age1,0.001228624,,-0.008283882,,0.002953556,,-0.046030603,***,-0.047715851,***,-0.010268684, ,-0.008926605,*,-0.006308281, ,-0.010832022,***
kids_1_to_2,-0.111009534,,0.267390954,,-0.279477178,,-0.239174902,,0.37670313, ,0.850254774,***,-0.078585724,,0.152748459, ,0.215186767,***
kids_3_up,0.133147234,,0.203079706,,0.136220329,,0.691071567,***,0.72860384,***,1.001868937,***,0.383436142,***,0.169186886, ,0.02897376,
hh_max_sei1,0.037313057,,-0.048857344,,-0.034411547,,-0.010249508,,0.051876797,**,0.012236632,,0.027841668,*,-0.008725389,,-0.037373083,***
ed_pct_black1,0.017099471,,-0.010420207,,-0.00524199,,0.025212264,,0.030308555,*,0.047170474,***,-0.04997311,***,-0.001660471,,0.031739325,***
ed_pct_frnbrn1,0.224538105,***,0.140392831,***,0.292895847,***,0.494897369,***,0.445956883,***,0.619665673,***,0.359897729,***,0.308319897,***,0.447524251,***
ed_mean_sei1,-0.028890035,,-0.206357537,*,-0.122822393,**,0.061927329,,0.304072375,***,0.040635604,,0.041266728,,0.115907298,***,0.124877546,***
hh_max_sei1:ed_pct_black1,-6.30E-04,,-1.45E-04,,3.98E-05,,5.49E-04,,2.16E-04,,3.12E-04, ,1.75E-04,,1.03E-04,,-8.24E-05,
hh_max_sei1:ed_pct_frnbrn1,3.68E-04,,0.002090469, ,-7.89E-05,,-1.35E-05,,-7.89E-04,**,-6.49E-04,**,-6.05E-04,**,1.80E-04,,0.00191706,***
hh_max_sei1:ed_mean_sei1,-0.001562971,,0.001504965,,0.001745314,,-2.78E-04,,-0.002519296,*,8.76E-04,,-0.002345488,***,-0.001115757, ,1.91E-04,
