bpl1,x1910,x1920,x1930,total
100,20,65,166,251
200,NA,1,NA,1
400,1,2,3,6
500,7,9,22,38
600,45,39,55,139
800,6,14,31,51
900,181,167,185,533
1000,1404,1055,950,3409
1100,114,121,148,383
1200,21,131,275,427
1300,77,391,1146,1614
1500,NA,1,1,2
1600,1,4,NA,5
1700,163,203,257,623
1800,83,98,122,303
1900,41,38,64,143
2000,25,36,35,96
2100,67,61,90,218
2200,37,32,44,113
2300,89,69,80,238
2400,2191,1822,1895,5908
2500,419,364,504,1287
2600,75,84,105,264
2700,23,34,53,110
2800,11,18,40,69
2900,64,87,131,282
3000,1,5,13,19
3100,16,11,27,54
3200,NA,NA,4,4
3300,30,33,30,93
3400,2654,2167,2334,7155
3500,2,1,NA,3
3600,1661,1526,1939,5126
3700,518,632,1146,2296
3800,1,2,7,10
3900,379,333,362,1074
4000,NA,2,8,10
4100,1,1,4,6
4200,54551,47312,58772,160635
4400,72,81,100,253
4500,117,382,1429,1928
4600,2,3,11,16
4700,49,66,100,215
4800,28,59,116,203
4900,4,4,NA,8
5000,52,36,46,134
5100,1763,2045,2698,6506
5300,6,3,10,19
5400,68,67,96,231
5500,44,51,54,149
5600,NA,2,2,4
9900,4,NA,NA,4
11000,1,6,18,25
11500,NA,1,NA,1
11530,NA,NA,1,1
15000,256,197,50,503
15010,NA,NA,7,7
15050,1,2,2,5
15070,10,22,36,68
15080,NA,NA,1,1
16010,1,2,3,6
20000,4,4,6,14
21020,NA,1,1,2
21040,NA,NA,1,1
21060,NA,1,NA,1
25000,26,18,18,62
26030,1,13,9,23
26042,NA,NA,1,1
26043,NA,NA,4,4
26044,2,6,2,10
26069,NA,2,NA,2
26089,NA,1,NA,1
26094,33,10,10,53
30005,NA,3,9,12
30015,1,4,7,12
30020,1,NA,2,3
30025,NA,NA,2,2
30030,NA,NA,1,1
30040,NA,NA,1,1
30065,NA,2,NA,2
30090,NA,1,6,7
40000,137,85,88,310
40100,12,34,42,88
40400,103,79,93,275
40500,278,218,190,686
41000,4059,2675,2225,8959
41100,970,711,992,2673
41200,91,52,40,183
41400,6296,3005,1833,11134
41410,NA,NA,614,614
42000,39,39,32,110
42100,175,160,150,485
42110,NA,14,1,15
42300,1,2,2,5
42500,30,29,37,96
42600,236,157,129,522
43000,NA,7,15,22
43200,NA,NA,1,1
43300,6,49,126,181
43400,3001,5405,8114,16520
43500,NA,NA,1,1
43600,1,4,18,23
43800,4,24,36,64
45000,852,745,710,2307
45010,NA,NA,2,2
45100,NA,2,5,7
45200,NA,22,153,175
45210,1,11,3,15
45300,5743,3106,2965,11814
45312,1,NA,NA,1
45360,NA,1,1,2
45400,665,611,566,1842
45500,24,1306,2596,3926
45511,NA,6,NA,6
45530,NA,2,NA,2
45600,347,442,488,1277
45700,NA,6,42,48
45730,NA,NA,2,2
46000,NA,NA,3,3
46100,NA,3,37,40
46200,NA,169,426,595
46500,6401,7529,7700,21630
46530,NA,6,15,21
46540,1,34,55,90
50000,3,NA,1,4
50100,NA,NA,1,1
51210,1,NA,NA,1
51500,NA,NA,2,2
51600,NA,1,NA,1
52100,NA,2,1,3
52200,NA,4,7,11
53400,1,NA,NA,1
53420,NA,2,11,13
54100,1,11,20,32
54200,19,11,82,112
60011,NA,1,NA,1
60012,NA,2,2,4
60094,1,2,3,6
70010,2,2,5,9
70020,NA,1,1,2
