"wnb_coefs[, 1]","Linear, none_1910_est","Linear, none_1910_pval","Linear, none_1920_est","Linear, none_1920_pval","Linear, none_1930_est","Linear, none_1930_pval","Linear, ownership_1910_est","Linear, ownership_1910_pval","Linear, ownership_1920_est","Linear, ownership_1920_pval","Linear, ownership_1930_est","Linear, ownership_1930_pval"
(Intercept),1.0542140145089862,0.9206515430446613,1.3677211375433498,0.6049187620255827,2.1479535794021576,0.07499994022640372,0.9684275107062368,0.9551541419254499,0.8047039317798538,0.7504494207724653,2.374663469379,0.07580186293779134
woman,0.9098886229097569,0.5364865428553118,1.0535034812600728,0.7826257366481328,0.5785177449507976,3.4331166952373816e-4,0.914754461155037,0.5612377174431931,1.0406208164497934,0.8340511237332358,0.5833213211667263,4.260773488218809e-4
married,1.3254451481395857,0.04336190974027213,1.26705265437578,0.17846680456323244,1.068179530280206,0.6310472106488062,1.3355704017017571,0.038520957696661584,1.2514801923324215,0.2036222116098303,1.0947994801917589,0.5105680214281654
homeowner,0.4387173544604363,1.6012780580149626e-8,0.29546720585314973,2.170935509668102e-14,0.22053143849182663,3.836120816786731e-48,0.6947885075090304,0.7578589083692407,1.871421808978717,0.5941330710364453,0.19310823488316806,0.04140709848692179
age1,0.9752117251849977,8.758725981180537e-7,0.9604089663677,4.02467349216849e-11,0.9692497459992808,1.6760111523215518e-12,0.9750458578950795,7.614071204940073e-7,0.9610140001491146,8.884343597457781e-11,0.96870194466332,8.858049662671336e-13
kids_1_to_2,1.0088990647954084,0.961256047394278,0.886083285660567,0.6742305312915962,0.6049943964468049,0.09601809175510062,1.0147719069470487,0.9359729370679724,0.8887654910950576,0.6818754940816332,0.6049815191668692,0.0951594299282271
kids_3_up,NA,NA,1.1241026112384949e-5,0.9720063034751304,NA,NA,NA,NA,1.1503646955332042e-5,0.9720630106791743,NA,NA
hh_max_sei1,0.9973692628217559,0.3255873062365325,1.0050632101001589,0.14692992955255946,1.0003796619864866,0.8848914666330594,0.9973645712481579,0.3248675208550027,1.0045511347705507,0.19630155372727542,1.0002400534522704,0.9269689222085311
ed_mean_sei1,1.0151446593269953,0.20295398316333768,1.0264133058491889,0.03300134877972822,1.0124595369560025,0.10439671371713961,1.0189520335305218,0.15197182811378884,1.039958577127013,0.007890806973203554,1.0142402137238988,0.10391710864634617
ed_pct_black1,1.0187336678926542,0.0030679652872434124,1.0208114679405087,0.0027084244797510766,1.0119943655429817,0.019675317468781997,1.0202294629758955,0.004840747907505184,1.0284623623763163,5.48493187146456e-4,1.0095447806569402,0.11338096733237002
ed_pct_frnbrn1,1.013380034746401,0.0475401630178914,1.004640239424155,0.6268804417339751,1.0081436731563254,0.32157274174175415,1.0115713490567426,0.1223356174756925,1.0080937724854226,0.45012486419228626,0.9991929275083185,0.9339679900263465
homeowner:ed_mean_sei1,NA,NA,NA,NA,NA,NA,0.9816452556769028,0.5251510512338963,0.958534160553174,0.09088990735624158,0.9911822944387132,0.5841235657371083
homeowner:ed_pct_black1,NA,NA,NA,NA,NA,NA,0.9931240202927085,0.6469280594962532,0.9722284750295808,0.08129471980154361,1.0071997461474682,0.5048089380835499
homeowner:ed_pct_frnbrn1,NA,NA,NA,NA,NA,NA,1.0078633592467556,0.6346614980251188,0.9867844952770665,0.5730966464969883,1.0277228193044625,0.11132582461093933
